model,approach,setting,k_winner,f1_macro,precision_macro,recall_macro,accuracy,invalid_rate,f1_bug,f1_feature,f1_question,precision_bug,recall_bug,precision_feature,recall_feature,precision_question,recall_question,n_projects
Qwen-3B,zero_shot,agnostic,zero_shot,0.6132,0.6659,0.6258,0.6258,0.0024,0.6816,0.7227,0.4352,0.5432,0.9145,0.8864,0.61,0.5681,0.3527,
Qwen-3B,ragtag,agnostic,k3,0.6944,0.707,0.7006,0.7006,0.0024,0.7094,0.8018,0.572,0.6338,0.8055,0.7946,0.8091,0.6925,0.4873,
Qwen-3B,ragtag,project_specific,k3,0.693890909090909,0.7159727272727272,0.7030181818181819,0.7030181818181819,0.002118181818181818,0.7087727272727272,0.8021363636363635,0.5708000000000001,0.6395272727272727,0.8027272727272727,0.7999454545454546,0.8127272727272726,0.7084727272727273,0.4936363636363636,11.0
Qwen-3B,ragtag_debias,project_specific,k6,0.7089181818181818,0.7329272727272726,0.7078727272727273,0.7078727272727273,0.017881818181818183,0.6815363636363636,0.8021545454545455,0.6430636363636363,0.7265818181818182,0.6645454545454546,0.7995272727272728,0.8127272727272729,0.6726545454545453,0.6463636363636364,11.0
Qwen-3B,ft,agnostic,finetune_fixed,0.652,0.7117,0.663,0.663,0.0055,0.6989,0.7475,0.5098,0.5607,0.9273,0.8452,0.67,0.7293,0.3918,
Qwen-3B,ft,project_specific,finetune_fixed,0.5754272727272727,0.6099818181818182,0.5851454545454545,0.5851454545454545,0.01908181818181818,0.6479454545454545,0.6558272727272727,0.42253636363636365,0.5797818181818182,0.7581818181818182,0.7111727272727273,0.6418181818181818,0.5389818181818182,0.35545454545454547,11.0
Qwen-7B,zero_shot,agnostic,zero_shot,0.6621,0.7167,0.6791,0.6791,0.0009,0.6959,0.7905,0.5,0.5751,0.8809,0.792,0.7891,0.7829,0.3673,
Qwen-7B,ragtag,agnostic,k6,0.7122,0.7566,0.7103,0.7103,0.0348,0.7287,0.8082,0.5996,0.6569,0.8182,0.7733,0.8464,0.8396,0.4664,
Qwen-7B,ragtag,project_specific,k6,0.7142272727272727,0.7658818181818183,0.7151636363636364,0.7151636363636364,0.034554545454545456,0.7322727272727273,0.8166181818181819,0.5938181818181819,0.664309090909091,0.8236363636363635,0.7946545454545455,0.848181818181818,0.8387000000000001,0.47363636363636363,11.0
Qwen-7B,ragtag_debias,project_specific,k6,0.7299272727272726,0.7672545454545454,0.7342454545454546,0.7342454545454546,0.016063636363636363,0.7483,0.8138090909090908,0.6277090909090909,0.6772454545454546,0.8409090909090909,0.794709090909091,0.8427272727272727,0.8298363636363636,0.519090909090909,11.0
Qwen-7B,ft,agnostic,finetune_fixed,0.7411,0.7462,0.7412,0.7412,0.0012,0.7329,0.8263,0.6641,0.6802,0.7945,0.8493,0.8045,0.709,0.6245,
Qwen-7B,ft,project_specific,finetune_fixed,0.5113454545454545,0.5608272727272727,0.5266545454545455,0.5266545454545455,0.010599999999999998,0.5040727272727272,0.6298909090909091,0.40009090909090905,0.480609090909091,0.5690909090909091,0.6139363636363636,0.6736363636363637,0.5878727272727272,0.3372727272727273,11.0
Qwen-14B,zero_shot,agnostic,zero_shot,0.6452,0.7347,0.6752,0.6752,0.0006,0.6905,0.8057,0.4395,0.5697,0.8764,0.7613,0.8555,0.873,0.2936,
Qwen-14B,ragtag,agnostic,k9,0.717,0.7671,0.7109,0.7109,0.0427,0.7268,0.8272,0.5971,0.6389,0.8427,0.8298,0.8245,0.8325,0.4655,
Qwen-14B,ragtag,project_specific,k9,0.7165181818181818,0.7746636363636363,0.7142454545454545,0.7142454545454545,0.043036363636363636,0.7282636363636364,0.833009090909091,0.588309090909091,0.6451363636363636,0.8418181818181817,0.8440545454545455,0.8309090909090909,0.8347181818181819,0.47,11.0
Qwen-14B,ragtag_debias,project_specific,k9,0.7418363636363636,0.7823181818181818,0.7387999999999999,0.7387999999999999,0.03211818181818182,0.7476818181818181,0.8337090909090908,0.6441090909090909,0.6818909090909091,0.8336363636363636,0.8371272727272728,0.84,0.8279545454545453,0.5427272727272727,11.0
Qwen-14B,ft,agnostic,finetune_fixed,0.7154,0.729,0.7121,0.7121,0.0009,0.7027,0.7675,0.6759,0.7281,0.6791,0.8482,0.7009,0.6109,0.7564,
Qwen-14B,ft,project_specific,finetune_fixed,0.636609090909091,0.6575,0.6384818181818182,0.6384818181818182,0.001209090909090909,0.6922272727272727,0.6516181818181818,0.5659727272727274,0.6709,0.7236363636363635,0.7578818181818182,0.5872727272727272,0.5436818181818182,0.6045454545454546,11.0
Qwen-32B,zero_shot,agnostic,zero_shot,0.6876,0.7448,0.7058,0.7058,0.0018,0.715,0.8143,0.5335,0.6114,0.8609,0.766,0.8691,0.8571,0.3873,
Qwen-32B,ragtag,agnostic,k9,0.7594,0.7932,0.7464,0.7464,0.0442,0.7577,0.8379,0.6825,0.695,0.8327,0.8441,0.8318,0.8404,0.5745,
Qwen-32B,ragtag,project_specific,k9,0.7579272727272727,0.8002363636363636,0.7475818181818181,0.7475818181818181,0.04485454545454545,0.7544909090909091,0.8410272727272727,0.6782363636363636,0.6977636363636364,0.8281818181818181,0.8571727272727273,0.8336363636363636,0.8458272727272728,0.5809090909090909,11.0
Qwen-32B,ragtag_debias,project_specific,k9,0.7745272727272727,0.8038454545454545,0.7663818181818182,0.7663818181818182,0.033036363636363635,0.7754272727272727,0.8405181818181817,0.7076727272727273,0.7329909090909091,0.8300000000000001,0.8541090909090908,0.8363636363636364,0.8243818181818181,0.6327272727272727,11.0
Qwen-32B,ft,agnostic,finetune_fixed,0.7462,0.7677,0.7552,0.7552,0.0,0.7781,0.8138,0.6466,0.7099,0.8609,0.7597,0.8764,0.8336,0.5282,
Qwen-32B,ft,project_specific,finetune_fixed,0.7130272727272727,0.7323909090909091,0.7200090909090909,0.7200090909090909,0.0006,0.679390909090909,0.7971727272727273,0.6624818181818181,0.6990727272727273,0.6827272727272727,0.7681090909090909,0.8418181818181818,0.7299818181818182,0.6354545454545453,11.0
(no LLM),vtag,agnostic,k16,0.6039,0.6154,0.6061,0.6061,0.0,0.6318,0.6294,0.5505,0.5564,0.7309,0.6894,0.5791,0.6004,0.5082,
(no LLM),vtag,project_specific,k7,0.5836727272727272,0.6223,0.5960545454545455,0.5960545454545455,0.0,0.6193636363636363,0.5981090909090908,0.5335636363636364,0.5800454545454545,0.7163636363636363,0.6712454545454546,0.5654545454545455,0.6155545454545455,0.5063636363636363,11.0
(no LLM),vtag_debias,agnostic,k9,0.6048,0.6131,0.6048,0.6048,0.0,0.5892,0.6287,0.5966,0.6562,0.5345,0.6406,0.6173,0.5424,0.6627,
(no LLM),vtag_debias,project_specific,k9,0.585190909090909,0.6166454545454545,0.5966636363636364,0.5966636363636364,0.0,0.5628272727272727,0.6074545454545455,0.5853090909090909,0.6631636363636364,0.5318181818181819,0.6328454545454545,0.6109090909090908,0.5539636363636363,0.6472727272727273,11.0
